"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1006.0","...","28.6","...","77","0.7","335","...","...","0.0","...","...","...","...","...","..."
"02","1005.7","...","28.7","...","78","0.4","7","...","...","0.0","...","...","...","...","...","..."
"03","1005.4","...","28.4","...","82","0.5","29","...","...","0.0","...","...","...","...","...","..."
"04","1005.3","...","28.0","...","85","0.8","51","...","...","0.0","...","...","...","...","...","..."
"05","1005.1","...","27.6","...","87","0.5","21","...","...","0.0","...","...","...","...","...","..."
"06","1005.1","...","27.9","...","86","0.4","7","...","...","0.0","...","...","...","...","...","..."
"07","1005.4","...","29.0","...","82","0.9","49","...","...","0.0","...","...","...","...","...","..."
"08","1005.4","...","30.3","...","73","1.1","357","...","...","0.0","...","...","...","...","...","..."
"09","1005.3","...","30.5","...","71","1.8","296","...","...","0.0","...","...","...","...","...","..."
"10","1005.2","...","31.6","...","65","1.5","272","...","...","0.0","...","...","...","...","...","..."
"11","1004.9","...","31.6","...","67","2.7","251","...","...","0.0","...","...","...","...","...","..."
"12","1004.7","...","32.3","...","66","3.0","259","...","...","0.0","...","...","...","...","...","..."
"13","1004.6","...","32.0","...","66","4.6","254","...","...","0.0","...","...","...","...","...","..."
"14","1004.3","...","31.5","...","66","5.6","250","...","...","0.0","...","...","...","...","...","..."
"15","1003.6","...","31.2","...","71","5.1","259","...","...","0.0","...","...","...","...","...","..."
"16","1003.6","...","31.0","...","72","5.0","280","...","...","0.0","...","...","...","...","...","..."
"17","1004.3","...","28.4","...","73","2.9","84","...","...","0.0","...","...","...","...","...","..."
"18","1004.9","...","26.7","...","91","1.7","99","...","...","1.0","...","...","...","...","...","..."
"19","1005.9","...","26.7","...","93","1.8","171","...","...","0.5","...","...","...","...","...","..."
"20","1006.3","...","25.9","...","94","0.9","217","...","...","0.0","...","...","...","...","...","..."
"21","1006.6","...","26.8","...","91","1.3","75","...","...","0.5","...","...","...","...","...","..."
"22","1006.5","...","27.1","...","90","1.1","55","...","...","0.0","...","...","...","...","...","..."
"23","1006.3","...","27.4","...","90","0.0","0","...","...","0.0","...","...","...","...","...","..."
"24","1005.7","...","27.2","...","89","1.3","62","...","...","0.0","...","...","...","...","...","..."